,bus_count,last_update,msg_count,segment_id,traffic
513,4,2014-12-12T23:50:32,14,408,21
514,0,2013-02-04T23:50:32,0,861,-1
515,1,2013-01-21T23:50:32,5,389,26
516,0,2014-12-27T23:50:32,0,809,-1
517,1,2013-01-17T23:50:32,3,1308,20
518,1,2014-11-28T23:50:32,8,1251,21
519,0,2013-02-14T23:50:32,0,271,-1
520,1,2013-02-22T23:50:32,2,169,24
521,0,2013-02-17T23:50:32,0,504,-1
522,1,2013-02-28T23:50:32,3,381,26
523,0,2013-01-18T23:50:32,0,459,-1
524,1,2013-01-24T23:50:32,8,281,37
525,2,2014-12-03T23:50:32,21,422,18
526,2,2013-02-02T23:50:32,8,1038,20
527,0,2013-02-02T23:50:32,0,793,-1
528,0,2014-12-24T23:50:32,0,834,-1
529,0,2013-02-26T23:50:32,0,1283,-1
530,2,2013-02-24T23:50:32,8,414,27
531,1,2014-12-18T23:50:32,6,387,29
532,1,2013-02-02T23:50:32,3,326,23
533,1,2013-01-21T23:50:32,10,484,21
534,1,2013-02-28T23:50:32,4,1204,27
535,2,2013-01-30T23:50:32,10,174,28
536,2,2014-12-08T23:50:32,12,1212,24
537,0,2014-11-28T23:50:32,0,1225,-1
538,0,2014-12-26T23:50:32,0,584,-1
539,1,2014-12-14T23:50:32,9,418,19
540,1,2013-02-01T23:50:32,2,1178,21
541,2,2014-11-26T23:50:32,12,258,17
542,1,2014-12-17T23:50:32,6,1001,21
543,1,2013-02-15T23:50:32,13,152,20
544,1,2013-02-22T23:50:32,1,1037,24
545,1,2014-12-24T23:50:32,7,200,14
546,0,2014-12-13T23:50:32,0,606,-1
547,0,2014-12-18T23:50:32,0,529,-1
548,4,2013-01-29T23:50:32,7,594,50
549,4,2014-12-16T23:50:32,7,877,28
550,1,2014-12-29T23:50:32,8,426,20
551,3,2014-11-25T23:50:32,12,809,22
552,0,2014-12-02T23:50:32,0,9,-1
553,0,2013-01-27T23:50:32,0,176,-1
554,0,2014-11-29T23:50:32,0,374,-1
555,0,2013-02-17T23:50:32,0,878,-1
556,0,2013-02-12T23:50:32,0,792,-1
557,1,2013-01-22T23:50:32,12,577,26
558,0,2013-02-22T23:50:32,0,240,-1
559,0,2014-12-06T23:50:32,0,602,-1
560,1,2013-01-19T23:50:32,6,127,28
561,1,2013-02-20T23:50:32,8,646,27
562,2,2014-12-27T23:50:32,13,95,18
563,1,2014-12-21T23:50:32,14,821,27
564,1,2013-01-18T23:50:32,2,492,-1
565,1,2014-12-04T23:50:32,1,1036,19
566,0,2013-01-19T23:50:32,0,294,-1
567,0,2014-12-14T23:50:32,0,708,-1
568,1,2014-12-18T23:50:32,14,262,24
569,0,2013-02-19T23:50:32,0,719,-1
570,2,2013-02-21T23:50:32,10,703,34
571,0,2014-12-28T23:50:32,0,356,-1
572,0,2013-02-16T23:50:32,0,1247,-1
573,1,2013-01-15T23:50:32,14,350,21
574,1,2013-02-20T23:50:32,2,518,25
575,1,2014-11-26T23:50:32,5,560,16
576,0,2013-02-23T23:50:32,0,787,-1
577,1,2013-01-15T23:50:32,3,1252,23
578,2,2013-01-22T23:50:32,14,879,16
579,4,2014-12-09T23:50:32,11,944,23
580,0,2014-12-19T23:50:32,0,1243,-1
581,0,2013-02-20T23:50:32,0,331,-1
582,0,2013-02-25T23:50:32,0,219,-1
583,4,2014-12-05T23:50:32,5,1230,14
584,2,2014-12-02T23:50:32,3,416,21
585,2,2014-12-03T23:50:32,12,145,21
586,0,2014-12-17T23:50:32,0,15,-1
